VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,Description,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
3960,DIAGEO NORTH AMERICA INC,2753,44.77,59.99,1750.0,31596.0,1414552.9200000092,Johnnie Walker Black Label,28372.0,507291.42999999685,1739044.2799999635,52133.720000000525,257032.07000000007,324491.35999995423,18.65917755699476,0.897961767312318,1.2293949949924476,44.770000000000294,large,144338.48
17035,PERNOD RICARD USA,5364,23.07,29.99,1750.0,60645.0,1399080.1500000013,Kahlua,59771.0,504735.05999999435,1844950.2899999116,109817.06999999471,123780.21999999997,445870.13999991026,24.16705438713645,0.9855882595432435,1.3186880608662126,23.07000000000002,large,20163.18
3960,DIAGEO NORTH AMERICA INC,8082,21.73,33.99,1750.0,64249.0,1396130.770000004,Baileys Irish Cream,65184.0,494487.64999999007,2068091.1599999275,119767.48999999673,257032.07000000007,671960.3899999235,32.491816753374984,1.0145527556849134,1.4813018983887316,21.73000000000006,large,-20317.55
3960,DIAGEO NORTH AMERICA INC,8680,28.88,39.99,1750.0,47546.0,1373128.4800000344,Crown Royal,47966.0,596574.9299999733,1884307.3399999067,88129.79999999724,257032.07000000007,511178.8599998723,27.128210411784394,1.0088335506667228,1.372273146646743,28.880000000000724,large,-12129.6
3960,DIAGEO NORTH AMERICA INC,4260,16.66,21.99,1750.0,79078.0,1317439.4799999988,Capt Morgan Original Barrel,79042.0,121065.25000000092,1635666.5799999936,145234.9499999986,257032.07000000007,318227.09999999474,19.455499298640436,0.9995447532815701,1.2415496915273823,16.659999999999986,large,599.76
480,BACARDI USA INC,3348,22.38,29.99,1750.0,57349.0,1283470.6200000057,Bombay Sapphire Gin,56888.0,460087.9500000052,1766391.1199999275,104524.53999999519,89286.26999999999,482920.49999992177,27.33938676050079,0.9919614988927444,1.3762614371335744,22.3800000000001,large,10317.18
480,BACARDI USA INC,3857,38.27,49.99,1750.0,33388.0,1277758.760000023,Grey Goose Vodka,32945.0,589137.7899999819,1699669.5499999383,60533.429999999775,89286.26999999999,421910.7899999153,24.823106938635842,0.9867317599137415,1.3301959675079102,38.27000000000069,large,16953.61
8664,"STOLI GROUP,(USA) LLC",8112,19.52,24.99,1750.0,61936.0,1208990.7200000167,Stolichnaya,61323.0,392353.5400000164,1528730.2699999341,112669.44999999407,18544.489999999998,319739.5499999174,20.915367234792253,0.9901026866442779,1.2644681590276499,19.52000000000027,large,11965.76
480,BACARDI USA INC,126,20.14,32.99,1000.0,59878.0,1205942.9200000067,Grey Goose Vodka,58013.0,294049.49000001245,1736610.8699999584,60913.649999999085,89286.26999999999,530667.9499999518,30.55767755271303,0.9688533351147333,1.440044003077649,20.14000000000011,large,37561.1
12546,JIM BEAM BRANDS COMPANY,3512,11.76,16.99,1750.0,101480.0,1193404.80000003,Pinnacle Vodka,98938.0,306439.9400000273,1624366.619999945,181782.12999999188,123880.96999999999,430961.81999991485,26.531068460390394,0.9749507292077256,1.361119563118821,11.760000000000296,large,29893.92
12546,JIM BEAM BRANDS COMPANY,2120,12.21,16.99,1750.0,97473.0,1190145.3300000117,Canadian Club,94960.0,307670.2000000283,1554498.3999999382,174471.92999998984,123880.96999999999,364353.0699999265,23.438626247536888,0.9742185015337581,1.3061416625479871,12.21000000000012,large,30683.730000000003
7245,PROXIMO SPIRITS INC.,8159,19.69,25.99,1750.0,59088.0,1163442.7199999734,Jose Cuervo Especial,58610.0,431497.8100000081,1549701.899999929,107685.02999999304,38994.78000000001,386259.17999995546,24.92474068722334,0.9919103709721094,1.3319967312185033,19.68999999999955,large,9411.82
